,Date,Region,Class,Commodity,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price
135,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, RED LEAF",each,73,1.07,0.79,1.99
122,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CHINESE CABBAGE,per pound,51,0.5,0.5,0.5
123,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CORN-SWEET,each,364,0.42,0.33,0.5
124,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,"1,777",0.85,0.2,1.5
125,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,per pound,10,0.69,0.69,0.69
126,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,16,2.12,0.99,2.49
127,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,15,1.29,0.25,1.99
128,1/11/2019,SOUTHWEST U.S.,VEGETABLES,EGGPLANT,each,215,0.96,0.33,2.0
129,1/11/2019,SOUTHWEST U.S.,VEGETABLES,EGGPLANT,per pound,54,0.49,0.49,0.49
130,1/11/2019,SOUTHWEST U.S.,VEGETABLES,GARLIC,per sleeve,99,1.39,1.29,1.5
131,1/11/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,21,0.63,0.5,0.89
132,1/11/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,238,1.25,0.69,2.99
133,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, GREEN LEAF",each,65,0.95,0.79,1.5
134,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ICEBERG",each,142,0.87,0.33,1.99
136,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",each,73,0.89,0.5,1.99
137,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,45,0.99,0.99,0.99
138,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,117,2.69,2.5,3.99
139,1/11/2019,SOUTHWEST U.S.,VEGETABLES,MUSHROOMS,8 oz package,795,1.91,1.5,2.49
140,1/11/2019,SOUTHWEST U.S.,VEGETABLES,MUSHROOMS,8 oz package,16,1.67,1.67,1.67
141,1/11/2019,SOUTHWEST U.S.,VEGETABLES,ONIONS GREEN,per bunch,15,0.52,0.33,0.69
121,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CHAYOTE,each,127,0.29,0.25,0.5
120,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,155,2.29,1.5,2.5
119,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,41,2.0,2.0,2.0
118,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,27,0.67,0.5,0.89
97,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per bunch,7,0.99,0.99,0.99
98,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per pound,10,0.5,0.5,0.5
99,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per bunch,53,2.0,1.99,2.0
100,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,8,2.0,2.0,2.0
101,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,63,0.49,0.49,0.5
102,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,269,2.99,2.99,2.99
103,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,191,1.92,1.29,2.0
104,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,295,1.87,0.99,1.99
105,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,17,2.99,2.99,2.99
142,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,"1,579",0.61,0.33,0.99
106,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BRUSSELS SPROUTS,per pound,17,2.23,1.99,2.49
108,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,63,0.48,0.33,0.5
109,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,per pound,145,0.42,0.33,0.5
110,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,per bunch,164,1.59,1.5,2.69
112,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,2 lb bag,612,1.99,1.99,1.99
113,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,26,2.07,1.5,2.49
114,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,each,14,1.85,0.99,2.5
115,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,per pound,88,0.79,0.49,1.99
116,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,each,169,3.99,3.99,3.99
117,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,per pound,291,1.69,1.29,1.99
107,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,122,0.45,0.33,0.79
143,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,13,0.99,0.99,0.99
144,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,9,1.99,1.99,1.99
145,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,456,1.26,0.33,1.48
170,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,132,0.43,0.25,0.79
171,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,123,0.77,0.5,0.79
172,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,146,0.98,0.98,0.98
173,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,64,0.97,0.79,0.99
174,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,54,1.83,1.79,1.99
175,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,378,0.81,0.33,1.29
176,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,75,1.54,0.69,1.79
177,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SWEET POTATOES,per pound,365,0.86,0.33,2.49
178,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SWISS CHARD,per bunch,25,2.24,1.98,2.69
169,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,146,0.98,0.98,0.98
179,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATILLOS,per pound,55,0.64,0.5,0.99
181,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,113,1.99,1.99,1.99
182,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,4,2.99,2.99,2.99
183,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,796,2.49,1.99,2.49
184,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,18,2.29,2.29,2.29
185,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,282,2.41,0.79,2.49
186,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",10 oz package,8,1.39,1.39,1.39
187,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,820,2.96,2.5,3.0
188,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",10 oz package,16,3.33,3.33,3.33
189,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",per pound,636,0.73,0.33,0.99
180,1/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,8,3.99,3.99,3.99
96,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEANS,per pound,303,1.07,0.79,1.5
168,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,123,0.77,0.5,0.79
166,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,113,0.79,0.79,0.79
146,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,103,2.99,2.99,2.99
147,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,9,1.99,1.99,1.99
148,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,450,1.27,0.5,1.48
149,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,103,2.99,2.99,2.99
150,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,450,1.27,0.5,1.48
151,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,9,1.99,1.99,1.99
152,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,103,2.99,2.99,2.99
153,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,146,0.71,0.49,0.99
154,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",1 lb package,725,3.41,2.99,3.49
167,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,146,0.98,0.98,0.98
155,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,96,0.79,0.79,0.79
157,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,10 - 12 oz package,642,3.88,0.79,3.99
158,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,5 - 9 oz package,34,2.44,1.99,2.99
159,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,1 lb bag,764,5.0,4.99,5.0
160,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,5 - 9 oz package,107,3.21,2.5,3.99
161,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,per bunch,50,0.99,0.99,0.99
162,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,per bunch,1,1.67,1.67,1.67
163,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,10 oz package,53,1.42,0.99,1.5
164,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,5 - 6 oz package,152,2.5,2.5,2.5
165,1/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,5 - 6 oz package,9,3.99,3.99,3.99
156,1/11/2019,SOUTHWEST U.S.,VEGETABLES,RADISHES,per bunch,90,0.49,0.33,0.69
95,1/11/2019,SOUTHWEST U.S.,VEGETABLES,ASPARAGUS,per pound,171,2.99,2.99,2.99
111,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,524,1.34,0.69,1.38
93,1/11/2019,SOUTHWEST U.S.,VEGETABLES,ARTICHOKES,each,260,3.0,3.0,3.0
137,1/11/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,10,0.79,0.79,0.79
136,1/11/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,58,1.71,0.99,2.49
135,1/11/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,"1,567",0.9,0.25,1.49
134,1/11/2019,SOUTHWEST U.S.,FRUITS,ORANGES,4 lb bag,225,2.99,2.99,2.99
133,1/11/2019,SOUTHWEST U.S.,FRUITS,NECTARINES,per pound,149,2.02,1.29,2.99
132,1/11/2019,SOUTHWEST U.S.,FRUITS,MANGOES,each,146,1.25,1.25,1.25
131,1/11/2019,SOUTHWEST U.S.,FRUITS,MANGOES,each,"2,059",0.78,0.33,1.99
130,1/11/2019,SOUTHWEST U.S.,FRUITS,LIMES,each,18,0.33,0.33,0.33
94,1/11/2019,SOUTHWEST U.S.,VEGETABLES,ARTICHOKES,each,1,2.5,2.5,2.5
129,1/11/2019,SOUTHWEST U.S.,FRUITS,LIMES,per pound,250,0.64,0.49,0.79
127,1/11/2019,SOUTHWEST U.S.,FRUITS,LEMONS,per pound,12,0.61,0.5,0.69
126,1/11/2019,SOUTHWEST U.S.,FRUITS,LEMONS,each,11,0.33,0.33,0.33
125,1/11/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,1 lb bag,10,3.09,2.99,3.99
124,1/11/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,each,128,0.3,0.1,0.69
123,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,8,2.99,2.99,2.99
122,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,"1,404",1.7,0.77,2.99
121,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,per pound,152,1.5,1.5,1.5
120,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,per pound,29,1.16,0.5,1.49
128,1/11/2019,SOUTHWEST U.S.,FRUITS,LEMONS,each,9,0.72,0.69,0.99
139,1/11/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,per pound,198,0.65,0.49,0.99
140,1/11/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,per pound,96,0.79,0.79,0.79
141,1/11/2019,SOUTHWEST U.S.,FRUITS,PEACHES,per pound,185,1.87,1.5,2.99
160,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,per pound,35,2.04,1.99,2.09
159,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,per pound,160,2.54,0.5,2.99
158,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,5 lb package,171,4.99,4.99,4.99
157,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,3 lb bag,443,4.78,2.69,4.99
156,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,2 lb bag,8,3.5,3.5,3.5
155,1/11/2019,SOUTHWEST U.S.,FRUITS,TANGELOS,per pound,547,0.94,0.77,1.69
154,1/11/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,803,3.3,1.99,4.99
153,1/11/2019,SOUTHWEST U.S.,FRUITS,SATSUMA,per pound,5,1.99,1.99,1.99
152,1/11/2019,SOUTHWEST U.S.,FRUITS,SATSUMA,per pound,54,1.24,0.99,1.49
151,1/11/2019,SOUTHWEST U.S.,FRUITS,RASPBERRIES,6 oz package,635,2.71,2.5,3.99
150,1/11/2019,SOUTHWEST U.S.,FRUITS,PLUMS,per pound,11,1.99,1.99,1.99
149,1/11/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,each,6,2.5,2.5,2.5
148,1/11/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,per pound,255,0.54,0.33,0.88
147,1/11/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,each,163,2.41,1.5,2.5
146,1/11/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,21,1.99,1.99,1.99
145,1/11/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,359,0.99,0.5,1.29
144,1/11/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,112,1.99,1.99,1.99
143,1/11/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,403,0.91,0.49,1.29
142,1/11/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,420,0.92,0.33,1.69
119,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,each,247,0.55,0.33,0.79
118,1/11/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,5 lb bag,225,2.99,2.99,2.99
138,1/11/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,18,0.89,0.89,0.89
116,1/11/2019,SOUTHWEST U.S.,FRUITS,CLEMENTINES,3 lb bag,740,3.22,1.5,3.99
95,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,1.69,1.69,1.69
94,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,12,2.29,2.29,2.29
93,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,868,1.6,0.5,2.99
92,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,278,1.94,0.5,1.99
80,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLE PEARS,per pound,36,1.89,1.89,1.89
81,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,18,1.03,0.5,1.69
82,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,13,0.99,0.99,0.99
96,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,161,1.54,1.49,2.49
83,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,36,1.29,1.29,1.29
85,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,115,0.87,0.33,1.99
86,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,304,1.48,1.29,2.49
87,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,5 lb bag,96,2.77,2.77,2.77
88,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,494,1.48,0.5,1.99
89,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,317,2.99,2.99,2.99
90,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,13,2.99,2.99,2.99
117,1/11/2019,SOUTHWEST U.S.,FRUITS,CLEMENTINES,5 lb package,350,4.99,4.99,4.99
84,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,5 lb bag,20,2.99,2.99,2.99
97,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,128,0.78,0.49,1.69
91,1/11/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,269,1.47,0.99,1.99
99,1/11/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),"1,449",2.07,0.99,2.99
98,1/11/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",128 oz (1 gallon),8,5.99,5.99,5.99
115,1/11/2019,SOUTHWEST U.S.,FRUITS,CHERRIES,per pound,36,6.99,6.99,6.99
113,1/11/2019,SOUTHWEST U.S.,FRUITS,CANTALOUPS,per pound,15,0.83,0.69,0.99
112,1/11/2019,SOUTHWEST U.S.,FRUITS,CANTALOUPS,each,992,2.48,1.67,2.99
111,1/11/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,6 oz package,656,2.77,2.5,3.99
110,1/11/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,6 oz package,"1,256",2.56,1.5,3.99
109,1/11/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,4.4 oz package,113,3.5,3.5,3.5
108,1/11/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,5.6 - 6 oz package,160,3.04,2.98,3.99
107,1/11/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,5.6 - 6 oz package,"1,589",2.49,1.39,3.99
106,1/11/2019,SOUTHWEST U.S.,FRUITS,BANANAS,per pound,279,0.98,0.69,0.99
114,1/11/2019,SOUTHWEST U.S.,FRUITS,CHERRIES,per pound,"1,069",4.32,2.99,5.99
104,1/11/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,1,1.0,1.0,1.0
103,1/11/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,389,1.38,0.79,2.0
102,1/11/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,"2,189",0.86,0.2,2.0
101,1/11/2019,SOUTHWEST U.S.,FRUITS,APRICOTS,per pound,8,3.99,3.99,3.99
100,1/11/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),317,2.49,2.49,2.49
105,1/11/2019,SOUTHWEST U.S.,FRUITS,BANANAS,per pound,458,0.39,0.33,0.5
213,1/18/2019,SOUTHWEST U.S.,FRUITS,MANGOES,each,184,1.49,1.49,1.5
229,1/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,951,1.31,0.69,1.69
228,1/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,8,1.99,1.99,1.99
227,1/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,549,0.88,0.33,1.69
226,1/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,761,0.99,0.33,1.69
225,1/18/2019,SOUTHWEST U.S.,FRUITS,PEACHES,per pound,727,2.64,0.99,3.99
224,1/18/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,per pound,150,0.69,0.33,1.29
223,1/18/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,each,4,1.25,1.25,1.25
222,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,10,0.79,0.79,0.79
221,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,315,1.5,1.19,1.99
218,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,8 lb bag,350,5.99,5.99,5.99
219,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,each,50,0.25,0.25,0.25
217,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,4 lb bag,366,3.95,2.99,3.99
216,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,3 lb bag,113,2.5,2.5,2.5
215,1/18/2019,SOUTHWEST U.S.,FRUITS,NECTARINES,per pound,368,3.41,1.5,3.99
214,1/18/2019,SOUTHWEST U.S.,FRUITS,NECTARINES,per pound,44,2.17,1.99,2.99
230,1/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,8,1.99,1.99,1.99
210,1/18/2019,SOUTHWEST U.S.,FRUITS,LIMES,per pound,193,0.63,0.33,0.99
211,1/18/2019,SOUTHWEST U.S.,FRUITS,LIMES,each,35,0.33,0.33,0.34
212,1/18/2019,SOUTHWEST U.S.,FRUITS,MANGOES,each,594,1.21,0.77,1.5
220,1/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,647,0.96,0.2,1.69
231,1/18/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,each,990,2.94,0.79,4.99
240,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,3 lb bag,925,2.7,1.99,2.99
233,1/18/2019,SOUTHWEST U.S.,FRUITS,RASPBERRIES,6 oz package,515,2.5,2.5,2.5
209,1/18/2019,SOUTHWEST U.S.,FRUITS,LIMES,each,21,0.3,0.1,0.5
245,1/18/2019,SOUTHWEST U.S.,FRUITS,WATERMELONS,each,612,3.99,3.99,3.99
244,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,per pound,18,1.99,1.99,1.99
243,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,per pound,139,1.31,0.33,2.49
242,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,each,8,0.79,0.79,0.79
281,1/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",per pound,15,2.99,2.99,2.99
280,1/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",per pound,565,0.86,0.49,1.99
279,1/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",10 oz package,129,2.99,2.98,2.99
278,1/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,8,2.5,2.5,2.5
232,1/18/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,per pound,231,0.45,0.33,0.69
277,1/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,265,2.49,2.0,2.49
275,1/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,635,1.45,0.79,2.49
274,1/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,146,0.98,0.98,0.98
241,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,5 lb package,102,4.77,4.77,4.77
239,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,2 lb bag,23,3.01,2.49,3.99
238,1/18/2019,SOUTHWEST U.S.,FRUITS,TANGELOS,per pound,520,0.93,0.49,1.69
237,1/18/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,8,5.99,5.99,5.99
236,1/18/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,141,1.84,1.5,2.0
235,1/18/2019,SOUTHWEST U.S.,FRUITS,SATSUMA,per pound,25,0.9,0.69,1.49
234,1/18/2019,SOUTHWEST U.S.,FRUITS,RASPBERRIES,6 oz package,42,3.99,3.99,3.99
276,1/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,34,2.57,2.19,2.99
208,1/18/2019,SOUTHWEST U.S.,FRUITS,LEMONS,each,641,0.69,0.69,0.89
223,1/18/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,174,0.9,0.88,1.0
206,1/18/2019,SOUTHWEST U.S.,FRUITS,LEMONS,each,96,0.33,0.33,0.33
181,1/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),123,2.49,2.49,2.49
180,1/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),934,1.78,0.99,2.5
179,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,357,0.84,0.33,1.69
178,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,102,3.99,3.99,3.99
177,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,144,1.34,0.99,1.49
176,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,1.69,1.69,1.69
175,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,3.99,3.99,3.99
174,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,102,3.99,3.99,3.99
273,1/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,176,2.45,0.99,2.49
182,1/18/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,"1,371",0.99,0.25,1.66
173,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,137,1.39,0.89,1.49
171,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,24,1.72,1.58,1.99
161,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLE PEARS,per pound,36,1.69,1.69,1.69
162,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,87,1.07,0.33,1.69
163,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,"1,018",1.34,0.33,1.99
164,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,152,3.99,3.99,3.99
165,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,13,2.99,2.99,2.99
166,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,336,2.6,0.99,2.99
167,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,264,2.99,2.99,2.99
168,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,637,0.91,0.49,1.99
172,1/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,1.99,1.99,1.99
207,1/18/2019,SOUTHWEST U.S.,FRUITS,LEMONS,per pound,73,0.87,0.5,0.99
183,1/18/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,"1,013",1.85,0.69,2.5
185,1/18/2019,SOUTHWEST U.S.,FRUITS,BANANAS,per pound,197,0.38,0.29,0.49
